1 - - - + 14.506 14.153 14.134 14.339 14.953 15.455 
2 - - - - 12.886 12.963 13.669 13.869 14.145 14.007 
3 - - + + 13.926 14.052 14.392 14.428 13.568 15.074 
4 - - + - 13.758 13.992 14.808 13.554 14.283 13.904 
5 - + - + 14.629 13.940 14.466 14.538 15.281 15.046 
6 - + - - 14.059 13.989 13.666 14.706 13.863 13.357 
7 - + + + 13.800 13.896 14.887 14.902 14.461 14.454 
8 - + + - 13.707 13.623 14.210 14.042 14.881 14.378 
9 + - - + 15.050 14.361 13.916 14.431 14.968 15.294 
10 + - - - 14.249 13.900 13.065 13.143 13.708 14.255 
11 + - + + 13.327 13.457 14.368 14.405 13.932 13.552 
12 + - + - 13.605 13.190 13.695 14.259 14.428 14.223 
13 + + - + 14.274 13.904 14.317 14.754 15.188 14.923 
14 + + - - 13.775 14.586 14.379 13.775 13.382 13.382 
15 + + + + 13.723 13.914 14.913 14.808 14.469 13.973 
16 + + + - 14.031 14.467 14.675 14.252 13.658 13.578 
