- - - + 14.812 14.774 14.772 14.794 14.860 14.914 
- - - - 13.768 13.778 13.870 13.896 13.932 13.914 
- - + + 14.722 14.736 14.774 14.778 14.682 14.850 
- - + - 13.860 13.876 13.932 13.846 13.896 13.870 
- + - + 14.886 14.810 14.868 14.876 14.958 14.932 
- + - - 14.182 14.172 14.126 14.274 14.154 14.082 
- + + + 14.758 14.784 15.054 15.058 14.938 14.936 
- + + - 13.996 13.988 14.044 14.028 14.108 14.060 
+ - - + 15.272 14.656 14.258 14.718 15.198 15.490 
+ - - - 14.324 14.092 13.536 13.588 13.964 14.328 
+ - + + 13.918 14.044 14.926 14.962 14.504 14.136 
+ - + - 13.614 13.202 13.704 14.264 14.432 14.228 
+ + - + 14.648 14.350 14.682 15.034 15.384 15.170 
+ + - - 13.970 14.448 14.326 13.970 13.738 13.738 
+ + + + 14.184 14.402 15.544 15.424 15.036 14.470 
+ + + - 13.866 14.130 14.256 14.000 13.640 13.592 
